metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
founders_reproducing_count,evolutionary,reactive,100,0.34,0.0,0.5167888418597165,0.2387093869954956,0.44129061300450445,0.6579089416413789,32,68,0,0.9304237480757671
survived,evolutionary_oracle,reactive,100,-0.65,-1.0,0.5,-0.748,-0.552,-1.3,1,33,66,-1.841456130617576
any_birth,evolutionary_oracle,reactive,100,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0.0
final_population,evolutionary_oracle,reactive,100,-2.38,-2.0,1.3164077229070381,-2.638015913689779,-2.1219840863102206,-1.8079504993667304,1,6,93,-2.5059293627085064
births,evolutionary_oracle,reactive,100,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0.0
deaths,evolutionary_oracle,reactive,100,2.38,2.0,1.3164077229070381,2.1219840863102206,2.638015913689779,1.8079504993667304,93,6,1,2.505929362708506
resources_consumed_count,evolutionary_oracle,reactive,100,-187.38,-198.5,88.04174629633997,-204.6361822740826,-170.12381772591738,-2.1283085341049133,2,0,98,-2.8042595427143056
total_energy_final,evolutionary_oracle,reactive,100,-1465.5,-1289.5,912.4315997610036,-1644.3365935531567,-1286.6634064468433,-1.6061477927593297,2,2,96,-2.150806703344534
mean_population,evolutionary_oracle,reactive,100,-2.24864,-2.3405,1.1048678655857633,-2.4651941016548093,-2.0320858983451906,-2.035211693669675,3,0,97,-2.688551245387999
mean_energy,evolutionary_oracle,reactive,100,-185.54606216742857,-181.3971895388925,136.6165076157604,-212.3228976601176,-158.76922667473954,-1.3581525791106046,6,0,94,-1.6272121900081546
action_entropy,evolutionary_oracle,reactive,100,0.004417846308295092,0.004548226950241929,0.0026603879524878414,0.0038964102696074756,0.004939282346982709,1.660602283273677,93,0,7,2.117146769134004
time_to_extinction,evolutionary_oracle,reactive,2,-99.0,-99.0,186.67619023324855,-357.71999999999997,159.71999999999997,-0.5303300858899106,1,0,1,0.16210024515930008
time_to_extinction_censored,evolutionary_oracle,reactive,100,-305.41,-308.0,292.40908437711477,-362.72218053791454,-248.09781946208554,-1.0444613943871806,2,31,67,-1.4304019456255461
max_generation,evolutionary_oracle,reactive,100,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0.0
founders_reproducing_count,evolutionary_oracle,reactive,100,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0.0
survived,evolutionary_oracle,evolutionary,100,0.26,0.0,0.5617433182117573,0.1498983096304956,0.3701016903695044,0.4628448466956028,32,62,6,0.6989251393139064
any_birth,evolutionary_oracle,evolutionary,100,-0.32,0.0,0.4688261722621507,-0.41188992976338157,-0.22811007023661847,-0.6825557507934253,0,68,32,-0.9652795998478126
final_population,evolutionary_oracle,evolutionary,100,0.18,0.0,1.0188129357147946,-0.01968733540009973,0.3796873354000997,0.17667620197000425,32,62,6,0.26423759443459527
births,evolutionary_oracle,evolutionary,100,-0.99,0.0,2.969525350637844,-1.5720269687250175,-0.4079730312749825,-0.3333866133816138,0,68,32,-0.4714798701579137
deaths,evolutionary_oracle,evolutionary,100,-1.17,-1.0,2.220451314576395,-1.6052084576569734,-0.7347915423430266,-0.5269199069213575,0,46,54,-0.7243730328879839
resources_consumed_count,evolutionary_oracle,evolutionary,100,63.29,60.5,58.02773544442417,51.916563852892864,74.66343614710713,1.0906853337507156,94,0,6,1.5018531803886896
total_energy_final,evolutionary_oracle,evolutionary,100,112.04,0.0,244.27823679095314,64.16146558897319,159.91853441102683,0.45865731418341976,32,62,6,0.6623921513462766
mean_population,evolutionary_oracle,evolutionary,100,0.87347,0.905,0.8370552454524096,0.7094071718913277,1.0375328281086722,1.0435034064303712,91,0,9,1.4145230290756692
mean_energy,evolutionary_oracle,evolutionary,100,111.2580302975654,81.76333735478144,107.9408684729517,90.10162007686687,132.41444051826394,1.0307312871532521,99,0,1,1.4596050801922087
action_entropy,evolutionary_oracle,evolutionary,100,0.5120901705903719,0.43828831694257586,0.30372505488871304,0.4525600598321841,0.5716202813485596,1.686032029125833,100,0,0,2.385160287026831
time_to_extinction,evolutionary_oracle,evolutionary,62,263.38709677419354,280.5,326.70151589258825,182.06447411554717,344.7097194328399,0.8062010243649711,51,0,11,1.2214405528369674
time_to_extinction_censored,evolutionary_oracle,evolutionary,100,383.28,370.5,420.0499989479367,300.9502002062044,465.60979979379556,0.9124628043327428,83,0,17,1.3353490991965025
max_generation,evolutionary_oracle,evolutionary,100,-0.48,0.0,0.9263810329350542,-0.6615706824552706,-0.29842931754472934,-0.5181453235060474,0,68,32,-0.732768143782447
founders_reproducing_count,evolutionary_oracle,evolutionary,100,-0.34,0.0,0.5167888418597165,-0.44129061300450445,-0.2387093869954956,-0.6579089416413789,0,68,32,-0.9304237480757671
