seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
9,llm_b,200.0,6.0,0.0,4.0,111.0,1184.0,7.92,131.4968373015873,0.8118471474543311,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_9/llm_b_seed9_20260817T172502Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_9/metrics.csv
9,random,200.0,0.0,0.0,10.0,12.0,0.0,3.845,45.550987144168964,2.3157947696056738,122.0,122.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_9/random_seed9_20260817T172502Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_9/metrics.csv
9,reactive,200.0,5.0,0.0,5.0,96.0,1286.0,7.12,153.8881904761905,2.3168575785725047,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_9/reactive_seed9_20260817T172502Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_9/metrics.csv
10,llm_b,200.0,4.0,0.0,6.0,81.0,465.0,7.475,106.68406746031745,1.0155604782429268,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_10/llm_b_seed10_20260817T174947Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_10/metrics.csv
10,random,200.0,0.0,0.0,10.0,4.0,0.0,3.155,42.648329156223895,2.3132228254185563,77.0,77.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_10/random_seed10_20260817T174947Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_10/metrics.csv
10,reactive,200.0,5.0,0.0,5.0,97.0,1328.0,7.125,169.52775595238094,2.31875532720758,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_10/reactive_seed10_20260817T174947Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_10/metrics.csv
11,llm_b,200.0,3.0,0.0,7.0,63.0,301.0,6.555,101.73983333333334,1.3317155685219098,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_11/llm_b_seed11_20260817T181333Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_11/metrics.csv
11,random,200.0,0.0,0.0,10.0,6.0,0.0,3.245,40.26375661375661,2.318867232992319,94.0,94.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_11/random_seed11_20260817T181332Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_11/metrics.csv
11,reactive,200.0,6.0,0.0,4.0,93.0,835.0,8.07,116.57206150793651,2.3107551674432,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_11/reactive_seed11_20260817T181332Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_11/metrics.csv
12,llm_b,200.0,4.0,0.0,6.0,87.0,910.0,6.795,153.8407638888889,1.229840162924518,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_12/llm_b_seed12_20260817T183443Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_12/metrics.csv
12,random,200.0,0.0,0.0,10.0,6.0,0.0,3.22,44.46779715762273,2.3206304018766013,87.0,87.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_12/random_seed12_20260817T183443Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_12/metrics.csv
12,reactive,200.0,4.0,0.0,6.0,88.0,1155.0,6.775,173.5545634920635,2.3148147113733013,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_12/reactive_seed12_20260817T183443Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_12/metrics.csv
13,llm_b,200.0,5.0,0.0,5.0,99.0,766.0,8.07,107.73667857142857,0.9274066080227044,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_13/llm_b_seed13_20260817T185658Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_13/metrics.csv
13,random,200.0,0.0,0.0,10.0,8.0,0.0,3.4,44.297885154061625,2.3210367120251116,86.0,86.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_13/random_seed13_20260817T185658Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_13/metrics.csv
13,reactive,200.0,5.0,0.0,5.0,72.0,343.0,7.665,93.30862698412699,2.312761890514463,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_13/reactive_seed13_20260817T185658Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_13/metrics.csv
14,llm_b,200.0,4.0,0.0,6.0,68.0,577.0,6.19,127.84466071428571,1.0141046954460453,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_14/llm_b_seed14_20260817T192226Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_14/metrics.csv
14,random,200.0,0.0,0.0,10.0,3.0,0.0,3.01,43.964999999999996,2.3172576378211796,91.0,91.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_14/random_seed14_20260817T192226Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_14/metrics.csv
